"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"さんぽみち喫煙所","大阪市平野区平野宮町１丁目６番１号","さんぽみちきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：19.81平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から20時まで，喫煙所形態：屋内喫煙所","","135.55274364086","34.6294747953945","大阪市指定喫煙所"
"パーラーメトロＪＲ今宮駅店喫煙所","大阪市浪速区大国３丁目１番26号　ＪＲ今宮駅構内","ぱーらーめとろじぇいあーるいまみやえきてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：2平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時40分まで，喫煙所形態：屋内喫煙所","","135.493182890746","34.6541042904702","大阪市指定喫煙所"
"エムイーロッソＪＲ今宮駅前店喫煙所","大阪市浪速区大国３丁目13番20号","えむいーろっそじぇいあーるいまみやえきまえてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：2平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時40分まで，喫煙所形態：屋内喫煙所","","135.493424518387","34.6536139738778","大阪市指定喫煙所"
"マルハン加島店喫煙所（北）","大阪市淀川区加島２丁目７番38号","まるはんかしまてんきつえんじょ（きた）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：9.07平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時40分まで，喫煙所形態：屋内喫煙所","","135.458483575309","34.7314497161387","大阪市指定喫煙所"
"マルハン加島店喫煙所（西）","大阪市淀川区加島２丁目７番38号","まるはんかしまてんきつえんじょ（にし）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：15.79平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時40分まで，喫煙所形態：屋内喫煙所","","135.458342462558","34.7313206259881","大阪市指定喫煙所"
"キコーナ千林店喫煙所（１階）","大阪市旭区千林２丁目11番17号","きこーなせんばやしてんきつえんじょ（1かい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：7.48平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.552216334282","34.7248139140676","大阪市指定喫煙所"
"キコーナ千林店喫煙所（２階）","大阪市旭区千林２丁目11番17号","きこーなせんばやしてんきつえんじょ（2かい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：7.08平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.552167224975","34.7248092260222","大阪市指定喫煙所"
"１２３千林店屋内喫煙所（西）","大阪市旭区千林２丁目13番24号","１２３せんばやしてんおくないきつえんじょ（にし）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：6.78平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.553227470797","34.7249400544763","大阪市指定喫煙所"
"１２３千林店屋内喫煙所（東）","大阪市旭区千林２丁目13番24号","１２３せんばやしてんおくないきつえんじょ（ひがし）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：2.14平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.553462790178","34.7248349913536","大阪市指定喫煙所"
"シグマ本店屋内喫煙所（北東）","大阪市住吉区殿辻２丁目２番10号","しぐまほんてんおくないきつえんじょ（ほくとう）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：1.69平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時50分まで，喫煙所形態：屋内喫煙所","","135.498044207105","34.605575913873","大阪市指定喫煙所"
"シグマ本店屋内喫煙所（南西）","大阪市住吉区殿辻２丁目２番10号","しぐまほんてんおくないきつえんじょ（なんせい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：1.69平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時50分まで，喫煙所形態：屋内喫煙所","","135.49784817263","34.6055390464376","大阪市指定喫煙所"
"Ｐ・ＲＯＯＴｓ西成店屋内喫煙所","大阪市西成区梅南１丁目１番26号","ぴーるーつにしなりてんおくないきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：3.8平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時50分まで，喫煙所形態：屋内喫煙所","","135.49558023995","34.6433882353341","大阪市指定喫煙所"
"マルハン梅田店地下１階喫煙所","大阪市北区小松原町４番16号　ウメダナナイロビル地下１階","まるはんうめだてんちか１かいきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：4.16平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時40分まで，喫煙所形態：屋内喫煙所","","135.501098791705","34.7031541266216","大阪市指定喫煙所"
"マルハン梅田店地下２階喫煙所","大阪市北区小松原町４番16号　ウメダナナイロビル地下２階","まるはんうめだてんちか２かいきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：4.26平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時40分まで，喫煙所形態：屋内喫煙所","","135.501199139334","34.7032582096621","大阪市指定喫煙所"
"１２３長居店喫煙所（１階）","大阪市住吉区長居東４丁目５番３号","１２３ながいてんきつえんじょ（１かい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：4.59平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.51344709701","34.6103183023427","大阪市指定喫煙所"
"１２３長居店喫煙所（２階）","大阪市住吉区長居東４丁目５番３号","１２３ながいてんきつえんじょ（２かい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：6.78平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.513484312728","34.6104807234181","大阪市指定喫煙所"
"１２３長居店喫煙所（３階）","大阪市住吉区長居東４丁目５番３号","１２３ながいてんきつえんじょ（３かい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：6.78平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.51358595897","34.6103459016412","大阪市指定喫煙所"
"１２３＋N大阪本店屋内喫煙所（地下１階東）","大阪市北区兎我野町16番11号","１２３＋えぬおおさかほんてんおくないきつえんじょ（ちか１かいひがし）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：16.1平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.502471861305","34.7009250139811","大阪市指定喫煙所"
"１２３＋N大阪本店屋内喫煙所（地下１階南）","大阪市北区兎我野町16番11号","１２３＋えぬおおさかほんてんおくないきつえんじょ（ちか１かいみなみ）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：5.7平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.502528852292","34.7005218263207","大阪市指定喫煙所"
"１２３＋N大阪本店屋内喫煙所（１階北）","大阪市北区兎我野町16番11号","１２３＋えぬおおさかほんてんおくないきつえんじょ（１かいきた）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：38.7平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.502288462256","34.7010189231857","大阪市指定喫煙所"
"１２３＋N大阪本店屋内喫煙所（１階西）","大阪市北区兎我野町16番11号","１２３＋えぬおおさかほんてんおくないきつえんじょ（１かいにし）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：7.8平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.502199841101","34.7007796639203","大阪市指定喫煙所"
"１２３＋N大阪本店屋内喫煙所（２階）","大阪市北区兎我野町16番11号","１２３＋えぬおおさかほんてんおくないきつえんじょ（２かい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：34.9平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.502505362688","34.7007989408202","大阪市指定喫煙所"
"１２３玉出店屋内喫煙所（１階）","大阪市西成区玉出中２丁目５番１号","１２３たまでてんおくないきつえんじょ（１かい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：3.51平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.491279967448","34.6261952604112","大阪市指定喫煙所"
"１２３玉出店屋内喫煙所（２階）","大阪市西成区玉出中２丁目５番１号","１２３たまでてんおくないきつえんじょ（２かい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：5.7平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.491360256958","34.6262183585278","大阪市指定喫煙所"
"１２３玉出店屋内喫煙所（３階）","大阪市西成区玉出中２丁目５番１号","１２３たまでてんおくないきつえんじょ（３かい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：6.78平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.49125268848","34.6261976258092","大阪市指定喫煙所"
"１２３駒川店屋内喫煙所","大阪市東住吉区駒川４丁目１番１号","１２３こまがわてんおくないきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：6.78平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.530470803169","34.6211458704359","大阪市指定喫煙所"
"１２３長吉店喫煙所（北西）","大阪市平野区長吉出戸３丁目３番60号","１２３ながよしてんきつえんじょ（ほくせい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：2.14平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.573097604501","34.613401947365","大阪市指定喫煙所"
"１２３長吉店喫煙所（北東）","大阪市平野区長吉出戸３丁目３番60号","１２３ながよしてんきつえんじょ（ほくとう）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：2.14平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.573670967131","34.6133872741748","大阪市指定喫煙所"
"１２３長吉店喫煙所（南西）","大阪市平野区長吉出戸３丁目３番60号","１２３ながよしてんきつえんじょ（なんせい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：2.14平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.573302820391","34.6131464103413","大阪市指定喫煙所"
"１２３長吉店喫煙所（南東）","大阪市平野区長吉出戸３丁目３番60号","１２３ながよしてんきつえんじょ（なんとう）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：2.14平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.573481947855","34.613141176817","大阪市指定喫煙所"
"１２３鶴橋店屋内喫煙所（西）","大阪市東成区玉津３丁目12番３号","１２３つるはしてんおくないきつえんじょ（にし）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：4.71平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.53449477611","34.6658820534759","大阪市指定喫煙所"
"１２３鶴橋店屋内喫煙所（南西）","大阪市東成区玉津３丁目12番３号","１２３つるはしてんおくないきつえんじょ（なんせい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：4.71平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.534898762126","34.6655883517345","大阪市指定喫煙所"
"１２３鶴橋店屋内喫煙所（南東）","大阪市東成区玉津３丁目12番３号","１２３つるはしてんおくないきつえんじょ（なんとう）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：4.71平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.535303818392","34.6655910232154","大阪市指定喫煙所"
"１２３難波店喫煙所（地下１階東）","大阪市中央区千日前２丁目８番４号　延田ビル地下１階","１２３なんばてんきつえんじょ（ちか１かいひがし）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：2.14平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.503561596091","34.6662730347445","大阪市指定喫煙所"
"１２３難波店喫煙所（地下１階南）","大阪市中央区千日前２丁目８番４号　延田ビル地下１階","１２３なんばてんきつえんじょ（ちか１かいみなみ）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：2.14平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.503616822203","34.6661605716242","大阪市指定喫煙所"
"１２３難波店喫煙所（１階北西）","大阪市中央区千日前２丁目８番４号　延田ビル１階","１２３なんばてんきつえんじょ（１かいほくせい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：3.51平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.503345440546","34.6663839408376","大阪市指定喫煙所"
"１２３難波店喫煙所（１階北東）","大阪市中央区千日前２丁目８番４号　延田ビル１階","１２３なんばてんきつえんじょ（１かいほくとう）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：2.14平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.503524112042","34.66638354169","大阪市指定喫煙所"
"１２３難波店喫煙所（１階南西）","大阪市中央区千日前２丁目８番４号　延田ビル１階","１２３なんばてんきつえんじょ（１かいなんせい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：3.51平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.503350507086","34.6662205634914","大阪市指定喫煙所"
"１２３難波店喫煙所（１階南東）","大阪市中央区千日前２丁目８番４号　延田ビル１階","１２３なんばてんきつえんじょ（１かいなんとう）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：6.78平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.503678388988","34.6661283678805","大阪市指定喫煙所"
"１２３難波店喫煙所（２階）","大阪市中央区千日前２丁目８番４号　延田ビル２階","１２３なんばてんきつえんじょ（２かい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：3.96平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.503574736462","34.6661279458611","大阪市指定喫煙所"
"１２３緑橋店喫煙所（北西）","大阪市東成区東今里２丁目３番１号","１２３みどりばしてんきつえんじょ（ほくせい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：6.78平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.552173123855","34.6795497839803","大阪市指定喫煙所"
"１２３緑橋店喫煙所（北東）","大阪市東成区東今里２丁目３番１号","１２３みどりばしてんきつえんじょ（ほくとう）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：3.96平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.5524939067","34.6795092680825","大阪市指定喫煙所"
"１２３緑橋店喫煙所（南）","大阪市東成区東今里２丁目３番１号","１２３みどりばしてんきつえんじょ（みなみ）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：3.96平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.552323609452","34.6792156533402","大阪市指定喫煙所"
"スロット１２３梅田店喫煙所","大阪市北区梅田1丁目２番２号（大阪駅前第２ビル１階）","すろっと１２３うめだてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：2.62平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.497653046075","34.6986505186539","大阪市指定喫煙所"
"TENICHI西成店喫煙所（１階）","大阪市西成区天下茶屋３丁目22番12号","てんいちにしなりてんきつえんじょ（１かい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：2.72平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時50分まで，喫煙所形態：屋内喫煙所","","135.497304539061","34.6368278408265","大阪市指定喫煙所"
"TENICHI西成店喫煙所（２階）","大阪市西成区天下茶屋３丁目22番12号","てんいちにしなりてんきつえんじょ（２かい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：1.96平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時50分まで，喫煙所形態：屋内喫煙所","","135.497441018617","34.6368047385135","大阪市指定喫煙所"
"メトログラッチェ十三店喫煙所（１階）","大阪市淀川区十三東２丁目６番23号　ピュアコート十三","めとろぐらっちぇじゅうそうてんきつえんじょ（１かい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：3.24平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時45分まで，喫煙所形態：屋内喫煙所","","135.483546715357","34.7203438877664","大阪市指定喫煙所"
"メトログラッチェ十三店喫煙所（２階）","大阪市淀川区十三東２丁目６番23号　ピュアコート十三","めとろぐらっちぇじゅうそうてんきつえんじょ（２かい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：1.71平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時45分まで，喫煙所形態：屋内喫煙所","","135.483662158615","34.7202147870581","大阪市指定喫煙所"
"萩之茶屋会館喫煙所","大阪市西成区花園北２丁目12番31号","はぎのちゃやかいかんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：4.41平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時まで，喫煙所形態：屋内喫煙所","","135.498409135106","34.6454617122283","大阪市指定喫煙所"
"マジックバード２喫煙所（１階北西）","大阪市天王寺区玉造元町７番19号","まじっくばーど２きつえんじょ（１かいほくせい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：0.96平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時40分まで，喫煙所形態：屋内喫煙所","","135.531093162884","34.6724510208398","大阪市指定喫煙所"
"マジックバード２喫煙所（１階南西）","大阪市天王寺区玉造元町７番19号","まじっくばーど２きつえんじょ（１かいなんせい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：0.96平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時40分まで，喫煙所形態：屋内喫煙所","","135.53103540809","34.672291908169","大阪市指定喫煙所"
"マジックバード２喫煙所（１階中央）","大阪市天王寺区玉造元町７番19号","まじっくばーど２きつえんじょ（１かいちゅうおう）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：3.93平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時40分まで，喫煙所形態：屋内喫煙所","","135.531247810657","34.6723592106624","大阪市指定喫煙所"
"マジックバード２喫煙所（２階中央）","大阪市天王寺区玉造元町７番19号","まじっくばーど２きつえんじょ（２かいちゅうおう）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：5.28平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時40分まで，喫煙所形態：屋内喫煙所","","135.531206758656","34.6723827174791","大阪市指定喫煙所"
"カフェブレーク　ホワイティ梅田店","大阪市北区曽根崎２丁目　梅田地下街５－２号（ホワイティうめだ内）","かふぇぶれーく　ほわいてぃうめだてん","環境・リサイクル","情報提供登録喫煙所","","","","","","面積等：2.15㎡，喫煙できるたばこ：紙巻き、加熱式，開業時間：平日　6：30～22：00、土日祝　7：30～22：00
（休業日）ホワイティ梅田定休日に準ずる，喫煙所のみの利用：不可（店舗利用必要）","","135.49922102985","34.7016839667051","情報提供喫煙所"
"居酒屋　千五十屋","大阪市中央区船場中央１丁目４番３号　船場センタービル３号館地下２階","いざかや　せんごじゅうや","環境・リサイクル","情報提供登録喫煙所","","","","","","面積等：3.6㎡，喫煙できるたばこ：紙巻き、加熱式，開業時間：月～土　11：30～22：00
（休業日）毎月第３日曜日、8/13～8/15，12/30～1/3，喫煙所のみの利用：不可（店舗利用必要）","","135.507269665859","34.6817923404139","情報提供喫煙所"
"THE TOBACCO HOMMACHI","大阪市中央区南本町３丁目３番23号　インペリアル船場108号室","ざ　たばこ　ほんまち","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：16平方メートル，供用時間：月曜日から金曜日（祝日除く）の８時から21時まで，喫煙所形態：屋内喫煙所","","135.502242747097","34.6822916274903","大阪市指定喫煙所"
"はりまや　あびこ本店喫煙所","大阪市住吉区苅田７丁目12番29号　あびこはりまやビル１階","はりまや　あびこほんてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：6.74平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時50分まで，喫煙所形態：屋内喫煙所","","135.513310184636","34.5989785368281","大阪市指定喫煙所"
"はりまや　あびこ分店喫煙所","大阪市住吉区苅田７丁目12番29号　あびこはりまやビル２階","はりまや　あびこぶんてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：4.54平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時50分まで，喫煙所形態：屋内喫煙所","","135.513031933132","34.5990202489641","大阪市指定喫煙所"
"はりまや　日本橋一丁目店喫煙所（北側）","大阪市中央区日本橋１丁目３番11号","はりまや　にほんばしいっちょうめてんきつえんじょ（きたがわ）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：2.73平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時50分まで，喫煙所形態：屋内喫煙所","","135.505747280158","34.667331002024","大阪市指定喫煙所"
"はりまや　日本橋一丁目店喫煙所（南側）","大阪市中央区日本橋１丁目３番11号","はりまや　にほんばしいっちょうめてんきつえんじょ（みなみがわ）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：2.38平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時50分まで，喫煙所形態：屋内喫煙所","","135.505709332702","34.6672902801752","大阪市指定喫煙所"
"ローソン城東中央三丁目店喫煙所","大阪市城東区中央3丁目3番19号","ろーそんじょうとうちゅうおうさんちょうめてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：5.57平方メートル，供用時間：月曜日から日曜日（祝日含む）の８時から20時まで，喫煙所形態：屋内喫煙所","","135.54543629816","34.7028118700808","大阪市指定喫煙所"
"巽北換気塔喫煙所","大阪市生野区巽北３丁目139番６号","たつみきたかんきとうきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：8.89平方メートル，供用時間：月曜日から日曜日（祝日含む）の終日，喫煙所形態：屋外開放型喫煙所","","135.555644404715","34.6557789249785","大阪市指定喫煙所"
"Osaka Metro本社前喫煙所","大阪市西区九条南１丁目12番62号","おおさかめとろほんしゃまえきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：12.76平方メートル，供用時間：月曜日から日曜日（祝日含む）の終日，喫煙所形態：屋外開放型喫煙所","","135.474630885782","34.6694028747677","大阪市指定喫煙所"
"緑木検車場喫煙所","大阪市住之江区緑木１丁目４番13号","みどりぎけんしゃじょうきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：5.2平方メートル，供用時間：月曜日から日曜日（祝日含む）の終日，喫煙所形態：屋外開放型喫煙所","","135.472272804354","34.6204492954514","大阪市指定喫煙所"
"Smoking Area in Sagisu","大阪市福島区鷺洲１丁目10番13号　1階","すもーきんぐえりあ　いん　さぎす","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：8平方メートル，供用時間：月曜日、火曜日、木曜日、金曜日、土曜日（祝日除く）の９時30分から18時まで，喫煙所形態：屋外閉鎖型喫煙所","","135.478372691059","34.6954678654903","大阪市指定喫煙所"
"ナニワ環境公共喫煙所","大阪市浪速区元町１丁目３番１号　１階","なにわかんきょうこうきょうきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：7.19平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から18時まで，喫煙所形態：屋内喫煙所","","135.496909695301","34.6658783287994","大阪市指定喫煙所"
"日の出産業上新庄喫煙所","大阪市東淀川区小松１丁目10番18号 １階店舗２","ひのでさんぎょうかみしんじょうきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：26.38平方メートル，供用時間：月曜日から土曜日（祝日除く）の９時から20時まで，喫煙所形態：屋内喫煙所","","135.535480116268","34.7520787049103","大阪市指定喫煙所"
"堀口商会喫煙所","大阪市生野区林寺３丁目６番２号","ほりぐちしょうかいきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：24.3平方メートル，供用時間：月曜日から土曜日（祝日含む）の９時から20時まで，喫煙所形態：屋内喫煙所","","135.536076948485","34.6459199881007","大阪市指定喫煙所"
"クリスタ長堀　サテスタ広場喫煙所","大阪市中央区南船場４丁目長堀地下街７号","くりすたながほり　さてすたひろばきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：3.6平方メートル，供用時間：月曜日から日曜日（祝日含む）の6時から23時まで，喫煙所形態：屋内喫煙所","","135.498090212516","34.6751242910583","大阪市指定喫煙所"
"ダイ二ホン不動産新大阪穴太ビル喫煙所","大阪市淀川区西中島５丁目13番15号","だいにほんふどうさんしんおおさかあなぶとびるきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：18平方メートル，供用時間：月曜日から金曜日（祝日除く）の８時から17時まで，喫煙所形態：屋内喫煙所","","135.499510141278","34.7300679404937","大阪市指定喫煙所"
"エル・おおさか　スモーキングエリア","大阪市中央区石町２丁目５番３号","える・おおさか　すもーきんぐえりあ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：73平方メートル，供用時間：月曜日から日曜日（祝日含む）の8時30分から21時まで，喫煙所形態：屋外開放型喫煙所","","135.513177195106","34.6897104960444","大阪市指定喫煙所"
"Smoking Space Kohama","大阪市住之江区粉浜２丁目１番12号","すもーきんぐすぺーす　こはま","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：19.76平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時まで，喫煙所形態：屋内喫煙所","","135.49109169418","34.6176698013182","大阪市指定喫煙所"
"ConfidenceRon喫煙所","大阪市西区立売堀１丁目９番８号","こんふぃでんしゃるろんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：5.61平方メートル，供用時間：月曜日から金曜日（祝日除く）の９時から17時まで，喫煙所形態：屋外閉鎖型喫煙所","","135.49565144064","34.6791379643998","大阪市指定喫煙所"
"東心斎橋喫煙所","大阪市中央区東心斎橋１丁目４番１号　オリエンタル東心斎橋ビルB1","ひがししんさいばしきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：2.55平方メートル，供用時間：月曜日から金曜日（祝日除く）の15時から23時まで，喫煙所形態：屋内喫煙所","","135.505992418517","34.6734210210966","大阪市指定喫煙所"
"Smoking Space Kagaya","大阪市住之江区中加賀屋２丁目３番16号","すもーきんぐすぺーす　かがや","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：14.69平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時まで，喫煙所形態：屋内喫煙所","","135.48094832405","34.6183380959896","大阪市指定喫煙所"
"カキサコたばこ店喫煙所","大阪市中央区森ノ宮中央１丁目８番８号","かきさこたばこてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：6.65平方メートル，供用時間：月曜日から土曜日（祝日除く）の９時から18時まで，喫煙所形態：屋内喫煙所","","135.532647995193","34.6781290032131","大阪市指定喫煙所"
